id_lieu,nom,categorie,requete_pexels_suggeree
osaka-castle,Château d'Osaka,Château,Château d'Osaka Japan
himeji-castle,Château de Himeji,Château,Château de Himeji Japan
nijo-castle,Château de Nijo,Château,Château de Nijo Japan
sumida-river,Croisière sur la Sumida,Croisière,Croisière sur la Sumida Japan
teamlab-borderless,Street Kart Shibuya,Expérience,Street Kart Shibuya Japan
kenroku-en,Jardin Kenroku-en,Jardin,Jardin Kenroku-en Japan
shukkeien,Jardin Shukkei-en,Jardin,Jardin Shukkei-en Japan
meiji-jingu-gyoen,Jardin intérieur du Meiji,Jardin,Jardin intérieur du Meiji Japan
shinjuku-gyoen,Shinjuku Gyoen,Jardin,Shinjuku Gyoen Japan
kuromon,Marché Kuromon,Marché,Marché Kuromon Japan
nishiki,Marché Nishiki,Marché,Marché Nishiki Japan
tsukiji,Marché extérieur de Tsukiji,Marché,Marché extérieur de Tsukiji Japan
ameyoko,Ameyoko,Marché de rue,Ameyoko Japan
tokyo-tower,Tokyo Tower,Monument,Tokyo Tower Japan
teamlab,teamLab Planets,Musée immersif,teamLab Planets Japan
teamlab-planets,teamLab Planets,Musée immersif,teamLab Planets Japan
arashiyama,Bambouseraie d'Arashiyama,Nature,Bambouseraie d'Arashiyama Japan
shibuya-sky,Shibuya Sky,Observatoire,Shibuya Sky Japan
nara-park,Parc de Nara,Parc,Parc de Nara Japan
ueno-park,Parc d'Ueno,Parc & musées,Parc d'Ueno Japan
shibuya-crossing,Carrefour de Shibuya,Quartier,Carrefour de Shibuya Japan
dotonbori,Dotonbori,Quartier,Dotonbori Japan
shimokitazawa,Shimokitazawa,Quartier bohème,Shimokitazawa Japan
ginza,Ginza,Quartier chic,Ginza Japan
higashi-chaya,Quartier Higashi Chaya,Quartier historique,Quartier Higashi Chaya Japan
gion,Quartier de Gion,Quartier historique,Quartier de Gion Japan
takayama-old-town,Vieille ville de Takayama,Quartier historique,Vieille ville de Takayama Japan
shinsekai,Shinsekai,Quartier rétro,Shinsekai Japan
yanaka-ginza,Yanaka Ginza,Quartier rétro,Yanaka Ginza Japan
nakamise,Nakamise-dori,Rue commerçante,Nakamise-dori Japan
takeshita-dori,Takeshita-dori,Rue commerçante,Takeshita-dori Japan
kappabashi,Kappabashi,Rue spécialisée,Kappabashi Japan
omoide-yokocho,Omoide Yokocho,Ruelle izakaya,Omoide Yokocho Japan
fushimi-inari,Fushimi Inari,Sanctuaire,Fushimi Inari Japan
kasuga,Kasuga Taisha,Sanctuaire,Kasuga Taisha Japan
meiji-jingu,Sanctuaire Meiji,Sanctuaire,Sanctuaire Meiji Japan
sumiyoshi,Sumiyoshi Taisha,Sanctuaire,Sumiyoshi Taisha Japan
artizon-museum,Artizon Museum,Site & culture,Artizon Museum Japan
asakura-museum-of-sculpture,Asakura Museum of Sculpture,Site & culture,Asakura Museum of Sculpture Japan
asakusa-culture-tourist-information-cent,Asakusa Culture Tourist Information Center,Site & culture,Asakusa Culture Tourist Information Center Japan
asakusa-jinja,Asakusa-jinja,Site & culture,Asakusa-jinja Japan
gotoku-ji,Gōtoku-ji,Site & culture,Gōtoku-ji Japan
hozomon,Hōzōmon,Site & culture,Hōzōmon Japan
intermediatheque,Intermediatheque,Site & culture,Intermediatheque Japan
kaminarimon-gate,Kaminarimon Gate,Site & culture,Kaminarimon Gate Japan
marunouchi-tokyo-station-square,Marunouchi Tokyo Station Square,Site & culture,Marunouchi Tokyo Station Square Japan
matsuchiyama-shoden,Matsuchiyama Shoden,Site & culture,Matsuchiyama Shoden Japan
mosquee-de-tokyo,Mosquée de Tokyo,Site & culture,Mosquée de Tokyo Japan
musee-ghibli,Musée Ghibli,Site & culture,Musée Ghibli Japan
musee-nezu,Musée Nezu,Site & culture,Musée Nezu Japan
musee-national-de-tokyo,Musée national de Tokyo,Site & culture,Musée national de Tokyo Japan
musee-national-de-l-art-occidental,Musée national de l'Art occidental,Site & culture,Musée national de l'Art occidental Japan
musee-national-de-la-nature-et-des-scien,Musée national de la nature et des sciences de Tokyo,Site & culture,Musée national de la nature et des sciences de Tokyo Japan
ninja-experience-cafe-asakusa-in-tokyo,Ninja Experience Cafe Asakusa In Tokyo,Site & culture,Ninja Experience Cafe Asakusa In Tokyo Japan
north-observation-deck-tokyo-metropolita,"North Observation Deck, Tokyo Metropolitan Government Building No. 1",Site & culture,"North Observation Deck, Tokyo Metropolitan Government Building No. 1 Japan"
samurai-museum-tokyo-shinjuku,Samurai Museum TOKYO Shinjuku,Site & culture,Samurai Museum TOKYO Shinjuku Japan
samurai-ninja-museum-asakusa-tokyo,Samurai Ninja Museum Asakusa Tokyo,Site & culture,Samurai Ninja Museum Asakusa Tokyo Japan
sanctuaire-asakusa,Sanctuaire Asakusa,Site & culture,Sanctuaire Asakusa Japan
shibuya-crossing-chijk9,Shibuya Crossing,Site & culture,Shibuya Crossing Japan
shinjuku-gyoen-park,Shinjuku Gyoen Park,Site & culture,Shinjuku Gyoen Park Japan
siege-du-gouvernement-metropolitain-de-t,Siège du gouvernement métropolitain de Tokyo,Site & culture,Siège du gouvernement métropolitain de Tokyo Japan
suga-shrine,Suga Shrine,Site & culture,Suga Shrine Japan
the-seiko-museum-ginza,The Seiko Museum Ginza,Site & culture,The Seiko Museum Ginza Japan
tokiwaso-manga-museum,Tokiwaso Manga Museum,Site & culture,Tokiwaso Manga Museum Japan
tokyo-station-marunouchi-building,Tokyo Station Marunouchi Building,Site & culture,Tokyo Station Marunouchi Building Japan
unicorn-gundam,Unicorn Gundam,Site & culture,Unicorn Gundam Japan
waho-an-nature-tokyo,Waho-An Nature Tokyo,Site & culture,Waho-An Nature Tokyo Japan
zojo-ji,Zojo-ji,Site & culture,Zojo-ji Japan
teamlab-borderless-mori-building-digital,teamLab Borderless: MORI Building DIGITAL ART MUSEUM,Site & culture,teamLab Borderless: MORI Building DIGITAL ART MUSEUM Japan
teamlab-planets-tokyo-dmm,teamLab Planets TOKYO DMM,Site & culture,teamLab Planets TOKYO DMM Japan
byodo-in,Byodo-in,Temple,Byodo-in Japan
ginkaku-ji-kyoto,Ginkaku-ji,Temple,Ginkaku-ji Japan
kinkaku-ji,Kinkaku-ji,Temple,Kinkaku-ji Japan
kiyomizu-dera,Kiyomizu-dera,Temple,Kiyomizu-dera Japan
senso-ji,Senso-ji,Temple,Senso-ji Japan
todai-ji,Tōdai-ji,Temple,Tōdai-ji Japan
shirakawa-go,Shirakawa-go,Village classé,Shirakawa-go Japan
owakudani,Owakudani,Volcanique,Owakudani Japan
odaiba,Odaiba,Île de loisirs,Odaiba Japan
miyajima,Île de Miyajima,Île sacrée,Île de Miyajima Japan
